82	631	428	26.8	5.28	10.61	.497	0.02	0.10	.167	2.16	2.92	.742	9.09	1.90	5.14	7.04	1.73	0.66	0.31	2.85	1.62	12.73	8
83	642	244	18.4	1.63	3.27	.498	0.00	0.02	.000	0.49	0.79	.618	5.67	1.74	3.30	5.04	1.21	0.74	0.37	2.30	0.71	3.75	1
84	938	704	32.7	7.15	16.43	.435	1.15	3.41	.338	4.14	5.55	.746	13.22	1.39	4.24	5.62	4.44	1.21	0.86	1.77	2.16	19.60	1
85	1196	996	30.8	3.49	6.73	.518	0.00	0.00	.000	2.84	4.15	.684	12.72	3.18	7.15	10.33	1.04	0.41	2.75	2.83	1.82	9.81	1
86	75	1	8.0	1.09	2.12	.516	0.00	0.01	.000	0.44	0.88	.500	2.03	0.93	1.44	2.37	0.15	0.19	0.11	0.97	0.64	2.63	4
87	965	568	28.3	4.13	8.98	.460	1.62	3.98	.407	1.40	1.82	.769	8.25	0.65	3.79	4.44	2.70	0.58	0.23	2.05	1.59	11.28	1
88	607	280	22.1	2.50	5.09	.492	0.00	0.01	.111	1.64	2.88	.570	5.97	1.79	3.70	5.49	0.91	0.53	0.62	2.28	1.27	6.65	1
89	735	476	20.4	1.25	3.04	.411	0.01	0.05	.206	1.06	1.64	.647	3.36	1.24	2.44	3.68	0.85	0.50	0.49	2.80	0.82	3.57	1
90	456	37	14.2	1.46	3.57	.408	0.53	1.43	.372	1.18	1.37	.861	3.43	0.63	1.68	2.30	1.02	0.65	0.15	1.95	0.72	4.62	1
92	468	208	18.5	2.56	5.56	.460	0.00	0.01	.000	0.90	1.57	.574	5.00	1.34	2.87	4.21	0.87	0.44	1.31	2.28	1.22	6.01	1
93	287	14	18.5	1.66	4.22	.393	0.73	2.07	.352	1.14	1.48	.769	3.10	0.41	1.39	1.80	1.06	0.42	0.08	1.30	0.73	5.18	4
94	526	109	20.2	3.38	6.90	.490	0.04	0.21	.191	2.61	3.60	.726	5.59	1.32	2.71	4.02	0.76	0.41	0.29	1.84	1.19	9.40	8
95	793	287	24.2	2.86	6.53	.438	0.49	1.40	.350	1.20	1.54	.779	6.23	0.61	2.65	3.26	2.68	1.15	0.21	2.00	1.34	7.40	1
97	82	30	25.8	3.76	9.34	.402	1.90	5.27	.361	1.51	1.78	.849	5.83	0.41	2.15	2.56	2.16	0.59	0.01	1.15	1.63	10.93	1
98	1043	937	31.6	4.54	10.94	.415	1.75	4.53	.387	4.31	4.82	.894	10.88	0.46	2.41	2.87	5.40	1.01	0.16	2.08	2.05	15.15	1
99	618	188	18.4	2.26	4.57	.495	0.00	0.01	.000	1.11	1.96	.564	4.86	1.70	2.47	4.17	0.43	0.37	0.79	1.94	0.79	5.63	1
100	427	115	23.2	3.27	7.88	.415	0.92	2.58	.356	0.86	1.08	.798	4.55	0.57	2.54	3.11	1.07	0.73	0.13	2.00	0.88	8.32	7
101	1015	643	27.6	4.97	10.01	.497	0.01	0.06	.117	2.10	3.13	.670	9.64	2.44	5.08	7.53	1.28	0.77	1.09	3.03	1.60	12.05	1
102	436	77	19.5	3.21	7.78	.413	0.76	2.23	.341	1.25	1.51	.833	4.06	0.36	1.52	1.87	1.78	0.78	0.08	1.68	1.27	8.44	7
103	940	858	32.0	4.77	10.48	.455	0.60	1.62	.370	1.62	2.14	.757	8.56	1.16	3.29	4.45	2.48	0.57	0.52	1.26	1.10	11.76	1
105	1109	956	32.7	5.70	12.20	.467	0.98	2.91	.336	2.06	2.85	.721	10.68	1.42	5.25	6.68	1.80	0.98	1.32	2.94	1.53	14.43	1
106	152	12	12.8	2.05	4.48	.458	0.75	1.97	.381	0.53	0.68	.786	3.32	0.51	1.59	2.10	0.43	0.20	0.08	0.94	0.40	5.39	3
107	921	783	32.1	6.48	14.43	.449	0.58	1.66	.346	3.52	4.13	.852	8.12	0.86	2.23	3.10	3.39	0.78	0.14	2.53	2.15	17.06	1
108	937	439	24.8	3.17	8.18	.388	1.15	3.18	.360	1.00	1.35	.746	5.41	0.47	1.69	2.16	2.67	1.20	0.18	1.98	1.24	8.49	1
109	810	533	25.3	2.72	5.50	.496	0.00	0.00	.000	1.72	2.43	.710	7.71	1.90	3.77	5.67	0.57	0.49	2.43	2.82	1.24	7.17	1
110	727	510	30.8	5.14	12.65	.406	0.72	2.33	.309	3.08	4.08	.757	8.19	1.02	3.17	4.18	3.15	1.50	0.35	2.26	2.14	14.09	1
111	760	500	26.1	4.47	9.65	.464	0.11	0.40	.269	2.23	2.93	.760	8.72	2.43	4.85	7.28	1.16	0.70	0.61	2.52	1.51	11.28	1
112	514	203	23.4	3.76	8.71	.431	1.14	3.06	.373	1.88	2.35	.799	5.93	0.69	3.78	4.46	1.19	0.42	0.44	2.71	1.41	10.54	8
113	833	658	31.7	4.15	10.08	.412	1.38	3.67	.375	1.68	2.11	.799	8.44	0.36	2.65	3.01	5.01	1.15	0.29	2.91	1.91	11.35	1
114	606	319	25.6	2.23	5.68	.393	1.07	2.95	.363	0.98	1.24	.784	6.51	0.33	1.92	2.25	4.44	0.78	0.06	1.59	1.53	6.51	9
115	744	269	27.4	5.28	12.22	.432	1.57	3.93	.401	2.76	3.22	.857	6.61	0.45	2.04	2.49	2.51	0.68	0.15	2.31	2.08	14.90	1
116	824	542	22.3	2.72	6.69	.406	0.67	1.96	.340	1.10	1.57	.698	4.02	0.50	1.73	2.22	1.64	0.51	0.16	1.38	0.99	7.20	1
117	816	549	22.9	2.59	4.90	.528	0.00	0.00	.000	1.62	2.75	.587	7.19	2.55	3.42	5.97	0.54	0.39	1.36	2.50	1.04	6.79	1
118	553	455	35.0	6.73	16.00	.421	1.95	5.56	.351	5.21	6.48	.803	11.75	0.80	3.12	3.92	5.26	1.60	0.24	3.04	3.15	20.62	1
119	864	731	32.6	5.29	12.19	.434	0.86	2.46	.349	2.87	3.39	.847	8.84	1.27	3.78	5.05	2.31	1.34	0.25	2.44	1.84	14.31	1
120	871	220	22.6	2.61	5.87	.444	0.41	1.32	.311	1.98	2.49	.793	6.24	0.25	1.60	1.85	3.37	0.65	0.10	1.05	1.07	7.60	1
121	409	75	17.3	2.18	4.24	.513	0.00	0.00	.000	1.37	2.27	.603	5.33	1.66	3.06	4.71	0.36	0.31	1.04	2.17	0.94	5.72	1
122	1083	864	34.8	7.09	15.72	.451	1.07	3.11	.346	3.25	4.49	.724	11.48	2.36	5.17	7.53	1.63	0.97	0.39	2.38	1.58	18.51	1
123	495	79	18.6	2.93	5.87	.499	0.01	0.04	.158	1.04	1.23	.844	4.74	1.12	2.29	3.41	1.19	0.65	0.21	2.42	0.98	6.90	8
124	518	103	17.7	2.31	5.66	.408	1.15	2.99	.383	0.58	0.68	.866	3.61	0.15	1.58	1.73	1.31	0.36	0.14	1.37	0.71	6.35	1
125	376	137	24.9	3.17	7.69	.412	1.16	3.23	.361	1.02	1.32	.769	5.21	0.48	1.69	2.16	2.28	0.81	0.08	1.99	0.96	8.52	7
126	527	164	14.8	1.99	3.98	.500	0.00	0.02	.000	0.70	1.40	.498	4.73	1.73	2.69	4.41	0.37	0.46	0.85	2.37	0.68	4.68	1
