50	621	161	21.3	4.18	9.56	0.437	1.12	3.25	0.343	1.25	1.62	0.769	1.26	3.47	4.73	0.87	0.51	0.55	2.29	1.02	10.72	1	2	108	211	Charlie Villanueva
51	530	377	29.4	5.45	12.42	0.439	1.18	3.33	0.354	2.59	3.14	0.824	0.99	3.75	4.74	1.21	0.39	0.88	2.49	1.60	14.66	9	2	111	213	Andrea Bargnani
53	161	28	20.4	2.90	7.78	0.373	0.77	2.33	0.331	0.88	1.24	0.710	0.51	1.61	2.12	1.38	0.25	0.07	1.70	1.07	7.45	4	2	90	203	Adam Morrison
54	361	104	15.5	1.63	3.53	0.462	0.01	0.02	0.222	1.21	1.63	0.740	1.47	2.86	4.33	0.45	0.50	0.45	2.03	0.84	4.48	6	2	113	206	Shelden Williams
55	326	300	35.5	6.82	14.87	0.459	0.99	2.84	0.348	4.19	5.24	0.800	1.06	3.19	4.26	4.65	1.03	0.23	1.93	1.83	18.82	6	1	96	198	Brandon Roy
56	409	60	17.9	2.93	6.98	0.420	0.67	2.03	0.332	1.09	1.35	0.807	0.43	1.42	1.86	1.12	0.69	0.22	1.32	0.92	7.62	9	1	93	191	Shannon Brown
57	680	642	35.8	7.02	15.56	0.451	1.03	3.02	0.342	3.43	4.31	0.795	1.51	4.35	5.87	2.29	1.32	0.81	2.49	2.43	18.51	9	2	104	203	Rudy Gay
58	90	3	5.8	0.88	1.78	0.494	0.00	0.03	0.000	0.31	0.53	0.583	0.36	1.06	1.41	0.28	0.20	0.44	1.40	0.47	2.07	4	3	113	213	Patrick O'Bryant
59	47	3	5.5	0.74	1.74	0.427	0.00	0.00	0.000	0.70	1.19	0.589	0.60	1.00	1.60	0.02	0.09	0.47	0.94	0.32	2.19	3	3	104	213	Saer Sene
60	143	0	10.7	1.55	3.99	0.389	0.48	1.52	0.312	0.53	0.60	0.884	0.24	0.83	1.06	0.65	0.35	0.15	0.90	0.61	4.11	4	1	79	191	Quincy Douby
61	111	5	9.4	1.44	3.73	0.386	0.41	1.40	0.290	0.66	0.83	0.793	0.79	1.60	2.40	0.18	0.19	0.20	1.07	0.53	3.95	3	3	105	213	Oleksiy Pecherov
62	564	193	24.1	3.70	8.33	0.444	1.66	4.11	0.404	2.00	2.26	0.886	0.20	1.68	1.87	1.96	0.43	0.06	1.43	1.03	11.05	9	1	86	193	J.J. Redick
63	203	10	15.2	2.10	5.45	0.386	0.62	1.93	0.321	0.73	0.95	0.767	0.28	1.50	1.78	2.83	0.43	0.03	0.97	1.45	5.56	4	1	93	191	Marcus D. Williams
64	607	371	29.8	4.18	10.03	0.417	1.35	3.84	0.351	3.19	3.99	0.799	0.85	3.12	3.97	5.60	1.32	0.26	2.72	2.10	12.89	9	1	89	185	Kyle Lowry
65	632	392	26.9	3.94	9.73	0.405	1.58	4.23	0.372	1.78	2.09	0.853	0.35	1.91	2.27	2.98	0.75	0.30	2.21	1.55	11.24	9	1	97	193	Randy Foye
66	292	40	11.6	1.19	2.37	0.501	0.01	0.02	0.286	0.63	1.08	0.582	1.00	1.62	2.62	0.35	0.31	0.49	1.86	0.79	3.01	6	3	107	211	Hilton Armstrong
71	285	22	13.2	1.64	3.91	0.418	0.39	1.22	0.316	0.61	0.82	0.748	0.35	0.94	1.29	2.94	0.57	0.03	1.21	1.27	4.27	4	1	80	191	Sergio Rodriguez
73	299	48	15.4	2.26	5.35	0.422	0.67	1.98	0.338	0.76	1.08	0.704	0.55	1.42	1.97	0.44	0.53	0.33	1.40	0.53	5.95	5	2	93	201	Rodney Carney
74	189	31	14.7	1.57	4.12	0.380	0.20	0.67	0.299	0.59	0.99	0.599	0.48	1.30	1.78	1.73	0.58	0.12	1.35	1.07	3.93	4	1	100	198	Mardy Collins
75	314	58	17.1	2.07	5.13	0.403	0.88	2.59	0.339	0.62	0.82	0.755	0.79	2.22	3.01	0.70	0.40	0.50	2.09	0.63	5.63	8	2	104	208	Shawne Williams
76	490	30	19.4	2.89	6.82	0.423	1.15	3.07	0.374	0.77	1.04	0.734	0.32	1.58	1.90	2.87	0.76	0.11	1.41	1.38	7.69	8	1	82	188	Jordan Farmar
77	221	12	13.9	1.67	3.26	0.510	0.05	0.29	0.172	0.67	1.23	0.542	1.26	2.22	3.48	0.60	0.74	0.47	1.90	0.61	4.05	6	2	94	203	Renaldo Balkman
78	601	548	32.7	4.57	9.74	0.469	0.25	0.91	0.273	1.53	2.52	0.606	1.12	3.67	4.79	8.47	1.82	0.13	2.26	2.88	10.91	9	1	84	185	Rajon Rondo
79	225	18	12.4	2.17	4.26	0.509	0.00	0.01	0.500	1.65	2.10	0.786	1.22	1.84	3.06	0.31	0.16	0.29	1.89	0.89	5.99	7	2	113	208	Ike Diogu
80	67	18	8.7	1.06	2.42	0.438	0.25	0.75	0.340	0.34	0.51	0.676	0.12	0.90	1.01	0.52	0.25	0.09	0.79	0.37	2.72	3	2	98	201	James White
81	454	6	12.4	1.64	3.75	0.438	1.26	2.91	0.431	0.22	0.25	0.876	0.15	1.14	1.29	0.29	0.20	0.08	0.81	0.18	4.76	9	2	102	208	Steve Novak
83	68	0	11.6	0.96	2.60	0.367	0.25	0.78	0.321	0.54	0.63	0.860	0.62	1.19	1.81	0.96	0.37	0.13	1.13	0.59	2.71	2	2	104	198	David Noel
84	287	219	26.9	2.85	6.44	0.442	0.71	2.01	0.352	1.25	1.68	0.745	1.63	3.86	5.49	1.44	1.09	0.24	2.13	1.07	7.66	4	2	111	198	P.J. Tucker
85	91	7	9.5	1.13	2.56	0.442	0.21	0.68	0.306	0.69	1.01	0.685	0.56	1.08	1.64	0.48	0.29	0.04	1.58	0.51	3.16	2	2	98	201	Bobby Jones
86	403	49	16.9	3.03	5.48	0.553	0.00	0.07	0.037	1.58	2.39	0.661	1.35	2.54	3.89	0.80	0.45	0.23	2.37	1.02	7.64	6	2	113	201	Craig Smith
87	7	0	5.4	0.43	1.43	0.300	0.00	0.00	0.000	0.57	0.86	0.667	0.86	1.00	1.86	0.14	0.00	0.29	0.86	0.14	1.43	1	3	109	218	Kosta Perovic
89	397	77	23.5	2.68	6.66	0.402	1.46	3.57	0.407	1.03	1.31	0.780	0.36	1.64	1.99	1.95	0.61	0.22	2.04	0.94	7.85	7	1	91	188	Daniel Gibson
90	30	0	5.7	0.63	1.73	0.365	0.20	0.53	0.375	0.23	0.37	0.636	0.37	0.67	1.03	0.20	0.10	0.03	0.73	0.50	1.70	1	2	118	208	Damir Markota
91	26	0	6.6	0.62	1.35	0.457	0.31	0.73	0.421	0.38	0.69	0.556	0.12	0.62	0.73	0.27	0.12	0.08	0.54	0.35	1.92	2	2	102	206	Marcus Vinicius
92	102	25	12.8	1.49	2.88	0.517	0.00	0.00	0.000	1.32	1.97	0.672	0.80	1.89	2.70	0.29	0.37	0.44	2.13	0.87	4.30	3	2	109	206	Alexander Johnson
93	68	11	10.5	0.74	2.16	0.340	0.19	0.76	0.250	0.40	0.62	0.643	0.22	0.79	1.01	1.75	0.47	0.10	1.16	0.71	2.06	2	1	84	183	Dee Brown
95	239	19	13.9	2.05	3.98	0.515	0.00	0.02	0.000	2.11	3.09	0.682	1.59	2.22	3.81	0.33	0.29	0.34	2.10	0.79	6.21	5	2	109	203	Leon Powe
96	486	67	11.8	1.32	2.27	0.581	0.00	0.00	0.000	1.06	1.62	0.651	0.86	1.31	2.17	0.29	0.18	0.52	2.01	0.75	3.70	9	3	104	213	Ryan Hollins
97	22	0	5.2	0.41	1.64	0.250	0.00	0.14	0.000	0.18	0.41	0.444	0.59	0.82	1.41	0.05	0.18	0.55	0.68	0.18	1.00	2	3	111	216	Cheickh Samb
98	6	0	3.0	0.17	0.67	0.250	0.00	0.17	0.000	0.50	0.83	0.600	0.33	0.00	0.33	0.17	0.00	0.00	0.00	0.00	0.83	1	1	87	188	Guillermo Diaz
