607	280	22.1	2.50	5.09	0.492	0.00	0.01	0.111	1.64	2.88	0.570	1.79	3.70	5.49	0.91	0.53	0.62	2.28	1.27	6.65	1	5	132	211	Kwame Brown
735	476	20.4	1.25	3.04	0.411	0.01	0.05	0.206	1.06	1.64	0.647	1.24	2.44	3.68	0.85	0.50	0.49	2.80	0.82	3.57	1	5	116	213	Jason Collins
456	37	14.2	1.46	3.57	0.408	0.53	1.43	0.372	1.18	1.37	0.861	0.63	1.68	2.30	1.02	0.65	0.15	1.95	0.72	4.62	1	4	111	203	Brian Cardinal
287	14	18.5	1.66	4.22	0.393	0.73	2.07	0.352	1.14	1.48	0.769	0.41	1.39	1.80	1.06	0.42	0.08	1.30	0.73	5.18	4	2	97	198	Casey Jacobsen
82	30	25.8	3.76	9.34	0.402	1.90	5.27	0.361	1.51	1.78	0.849	0.41	2.15	2.56	2.16	0.59	0.01	1.15	1.63	10.93	1	2	77	191	Juan Carlos Navarro
618	188	18.4	2.26	4.57	0.495	0.00	0.01	0.000	1.11	1.96	0.564	1.70	2.47	4.17	0.43	0.37	0.79	1.94	0.79	5.63	1	4	118	201	Jason Maxiell
427	115	23.2	3.27	7.88	0.415	0.92	2.58	0.356	0.86	1.08	0.798	0.57	2.54	3.11	1.07	0.73	0.13	2.00	0.88	8.32	7	3	100	198	Jarvis Hayes
921	783	32.1	6.48	14.43	0.449	0.58	1.66	0.346	3.52	4.13	0.852	0.86	2.23	3.10	3.39	0.78	0.14	2.53	2.15	17.06	1	2	88	201	Richard Hamilton
810	533	25.3	2.72	5.50	0.496	0.00	0.00	0.000	1.72	2.43	0.710	1.90	3.77	5.67	0.57	0.49	2.43	2.82	1.24	7.17	1	5	107	208	Theo Ratliff
744	269	27.4	5.28	12.22	0.432	1.57	3.93	0.401	2.76	3.22	0.857	0.45	2.04	2.49	2.51	0.68	0.15	2.31	2.08	14.90	1	2	91	191	Ben Gordon
824	542	22.3	2.72	6.69	0.406	0.67	1.96	0.340	1.10	1.57	0.698	0.50	1.73	2.22	1.64	0.51	0.16	1.38	0.99	7.20	1	2	99	196	DeShawn Stevenson
816	549	22.9	2.59	4.90	0.528	0.00	0.00	0.000	1.62	2.75	0.587	2.55	3.42	5.97	0.54	0.39	1.36	2.50	1.04	6.79	1	5	119	213	Brendan Haywood
